"Path","Platform","Compiled","Cooked","Permutations","Compiletime","CompiledDouble","CookedDouble"
"/Engine/EngineSky/VolumetricClouds/m_SimpleVolumetricCloud.m_SimpleVolumetricCloud","0","0","56","1","0.000000","0","0"
"/Engine/EngineMaterials/DefaultPostProcessMaterial.DefaultPostProcessMaterial","0","0","10","1","0.000000","0","0"
"/Game/_Materials/Hacked_PC/M_HackedPC.M_HackedPC","0","14","1","1","17.195881","0","97"
"/Game/_Maps/level_2map_Mat.level_2map_Mat","0","14","1","1","16.795519","0","71"
"/Game/_Maps/car_level_2_Mat.car_level_2_Mat","0","14","1","1","15.958474","0","73"
"/Game/_Fonts/StyleThief/Font_StyleThief_Emissive.Font_StyleThief_Emissive","0","29","1","1","33.709618","0","285"
"/Game/_Fonts/StyleThief/Font_StyleThief.Font_StyleThief","0","29","2","1","34.428288","0","247"
"/Game/_Fonts/LemonMilk/LM_Font.LM_Font","0","29","1","1","32.664474","0","191"
"/Game/PolygonTown/Materials/Mat_PolygonTown_03_A.Mat_PolygonTown_03_A","0","37","1","1","50.232868","0","321"
"/Game/PolygonTown/Materials/Rug.Rug","0","37","1","1","48.705643","0","436"
"/Game/PolygonTown/Materials/Mat_PolygonTown_01_A.Mat_PolygonTown_01_A","0","37","1","1","48.030018","0","317"
"/Game/PolygonHeist/Materials/Mat_PolygonHeist_04_C.Mat_PolygonHeist_04_C","0","23","1","1","28.335154","0","198"
"/Game/PolygonHeist/Materials/Mat_PolygonHeist_04_B.Mat_PolygonHeist_04_B","0","23","1","1","30.506056","0","179"
"/Game/PolygonHeist/Materials/Mat_PolygonHeist_04_A.Mat_PolygonHeist_04_A","0","23","1","1","30.013966","0","158"
"/Game/PolygonHeist/Materials/Mat_PolygonHeist_03_C.Mat_PolygonHeist_03_C","0","23","1","1","29.407963","0","148"
"/Game/PolygonHeist/Materials/Mat_PolygonHeist_03_B.Mat_PolygonHeist_03_B","0","23","1","1","29.327253","0","154"
"/Game/PolygonHeist/Materials/Mat_PolygonHeist_03_A.Mat_PolygonHeist_03_A","0","23","1","1","28.625187","0","163"
"/Game/PolygonHeist/Materials/Mat_PolygonHeist_02_C.Mat_PolygonHeist_02_C","0","23","1","1","29.030611","0","173"
"/Game/PolygonHeist/Materials/Mat_PolygonHeist_02_B.Mat_PolygonHeist_02_B","0","23","1","1","28.729988","0","138"
"/Game/PolygonHeist/Materials/Mat_PolygonHeist_02_A.Mat_PolygonHeist_02_A","0","23","1","1","30.992786","0","207"
"/Game/PolygonHeist/Materials/Mat_PolygonHeist_01_C.Mat_PolygonHeist_01_C","0","65","1","1","64.893616","0","769"
"/Game/PolygonHeist/Materials/Mat_PolygonHeist_01_B.Mat_PolygonHeist_01_B","0","79","1","1","84.383705","0","1223"
"/Game/PolygonHeist/Materials/Mat_PolygonHeist_Shiny.Mat_PolygonHeist_Shiny","0","37","1","1","49.819771","0","595"
"/Game/PolygonHeist/Materials/Mat_PolygonHeist_Matte.Mat_PolygonHeist_Matte","0","37","1","1","48.869595","0","440"
"/Game/PolygonHeist/Materials/Mat_PolygonHeist_Glass.Mat_PolygonHeist_Glass","0","57","1","1","81.508087","0","728"
"/Game/PolygonHeist/Materials/Mat_PolygonHeist_Emmision.Mat_PolygonHeist_Emmision","0","37","5","1","51.090004","0","464"
"/Game/PolygonHeist/Materials/Mat_PolygonHeist_01_A.Mat_PolygonHeist_01_A","0","79","1","1","81.857330","0","1153"
"/Game/PolygonHeist/Materials/Mat_Simple_PeopleMasks_White_Blonde.Mat_Simple_PeopleMasks_White_Blonde","0","14","1","1","19.101931","0","89"
"/Game/PolygonHeist/Materials/Mat_Simple_PeopleMasks_White.Mat_Simple_PeopleMasks_White","0","23","1","1","32.770020","0","245"
"/Game/PolygonHeist/Materials/Mat_Simple_PeopleMasks_Brown.Mat_Simple_PeopleMasks_Brown","0","14","1","1","17.558472","0","86"
"/Game/PolygonHeist/Materials/Mat_Simple_PeopleMasks_Black.Mat_Simple_PeopleMasks_Black","0","14","1","1","21.177629","0","80"
"/Game/PolygonCity/Materials/Mat_PolygonCity_Skyline.Mat_PolygonCity_Skyline","0","42","2","1","53.246414","0","477"
"/Game/PolygonCity/Materials/Mat_PolygonCity_Glass_Windows.Mat_PolygonCity_Glass_Windows","0","35","1","1","302.546478","0","432"
"/Game/_Materials/ModifiedAssets/EmissiveStreetSign.EmissiveStreetSign","0","28","1","1","36.098091","0","260"
"/Game/PolygonCity/Materials/Mat_PolygonCity_Texture_Road_04.Mat_PolygonCity_Texture_Road_04","0","60","1","1","82.689468","0","702"
"/Game/PolygonCity/Materials/Mat_PolygonCity_Texture_Road_03.Mat_PolygonCity_Texture_Road_03","0","60","1","1","80.612915","0","919"
"/Game/PolygonCity/Materials/Mat_PolygonCity_Texture_Road_02.Mat_PolygonCity_Texture_Road_02","0","60","1","1","80.991592","0","871"
"/Game/PolygonCity/Materials/Mat_PolygonCity_Texture_Road_01.Mat_PolygonCity_Texture_Road_01","0","60","1","1","82.339005","0","780"
"/Game/_Materials/ModifiedAssets/M_StreetSign.M_StreetSign","0","60","1","1","81.898727","0","772"
"/Game/PolygonCity/Materials/Mat_PolygonCity_Texture_04_C.Mat_PolygonCity_Texture_04_C","0","14","1","1","21.710138","0","85"
"/Game/PolygonCity/Materials/Mat_PolygonCity_Texture_04_B.Mat_PolygonCity_Texture_04_B","0","28","1","1","36.549446","0","268"
"/Game/PolygonCity/Materials/Mat_PolygonCity_Texture_04_A_Emissive.Mat_PolygonCity_Texture_04_A_Emissive","0","37","1","1","48.962845","0","399"
"/Game/PolygonCity/Materials/Mat_PolygonCity_Texture_04_A.Mat_PolygonCity_Texture_04_A","0","37","1","1","48.185226","0","373"
"/Game/PolygonCity/Materials/Mat_PolygonCity_Texture_03_C.Mat_PolygonCity_Texture_03_C","0","28","1","1","36.139278","0","188"
"/Game/PolygonCity/Materials/Mat_PolygonCity_Texture_03_B.Mat_PolygonCity_Texture_03_B","0","28","1","1","34.912785","0","187"
"/Game/PolygonCity/Materials/Mat_PolygonCity_Texture_03_A_Emissive.Mat_PolygonCity_Texture_03_A_Emissive","0","28","1","1","39.600250","0","273"
"/Game/PolygonCity/Materials/Mat_PolygonCity_Texture_03_A.Mat_PolygonCity_Texture_03_A","0","37","1","1","50.766430","0","368"
"/Game/PolygonCity/Materials/Mat_PolygonCity_Texture_02_C.Mat_PolygonCity_Texture_02_C","0","28","1","1","48.071793","0","223"
"/Game/PolygonCity/Materials/Mat_PolygonCity_Texture_02_B.Mat_PolygonCity_Texture_02_B","0","28","1","1","41.271744","0","280"
"/Game/PolygonCity/Materials/Mat_PolygonCity_Texture_02_A_Emissive.Mat_PolygonCity_Texture_02_A_Emissive","0","28","1","1","40.648052","0","233"
"/Game/PolygonCity/Materials/Mat_PolygonCity_Texture_02_A.Mat_PolygonCity_Texture_02_A","0","37","1","1","50.399914","0","352"
"/Game/PolygonCity/Materials/Mat_PolygonCity_Texture_01_C.Mat_PolygonCity_Texture_01_C","0","28","1","1","35.444977","0","214"
"/Game/PolygonCity/Materials/Mat_PolygonCity_Texture_01_B.Mat_PolygonCity_Texture_01_B","0","37","1","1","47.743271","0","315"
"/Game/PolygonCity/Materials/Mat_PolygonCity_Texture_01_A_Emissive.Mat_PolygonCity_Texture_01_A_Emissive","0","28","1","1","57.959824","0","288"
"/Game/PolygonCity/Materials/Mat_PolygonCity_Texture_01_A.Mat_PolygonCity_Texture_01_A","0","60","1","1","141.913284","0","1085"
"/Game/PolygonCity/Materials/Mat_PolygonCity_Billboard.Mat_PolygonCity_Billboard","0","23","6","1","71.940094","0","165"
"/Engine/EngineMaterials/DefaultDeferredDecalMaterial.DefaultDeferredDecalMaterial","0","0","101","1","0.000000","0","0"
"/Engine/EngineMaterials/EmissiveTexturedMaterial.EmissiveTexturedMaterial","0","0","8","1","0.000000","0","0"
"/Engine/EngineMaterials/DefaultMaterial.DefaultMaterial","0","0","167","1","0.000000","0","0"
"/Engine/EngineMaterials/WorldGridMaterial.WorldGridMaterial","0","0","1288","1","0.000000","0","0"
"/Engine/EngineMaterials/DefaultTextMaterialOpaque.DefaultTextMaterialOpaque","0","0","31","1","0.000000","0","0"
"/Engine/EngineMaterials/Widget3DPassThrough.Widget3DPassThrough","0","0","66","6","0.000000","0","9"
"","0","1","0","1","0.000000","1","0"
"/Game/_Materials/ModifiedAssets/M_EV_Lightbeam_Master_02.M_EV_Lightbeam_Master_02","0","9","2","1","30.160891","0","43"
"/Game/_Materials/ModifiedAssets/M_BeamFlicker.M_BeamFlicker","0","9","4","1","21.518982","0","25"
"/Engine/EngineMaterials/PPM_DefaultCalibrationGrayscale.PPM_DefaultCalibrationGrayscale","0","0","6","1","0.000000","0","0"
"/Engine/EngineMaterials/PPM_DefaultCalibrationColor.PPM_DefaultCalibrationColor","0","0","6","1","0.000000","0","0"
"/Engine/EditorMaterials/PreviewShadowIndicatorMaterial.PreviewShadowIndicatorMaterial","0","0","43","1","0.000000","0","0"
"/Engine/EngineVolumetrics/LightBeam/Materials/M_EV_Lightbeam_Master_01.M_EV_Lightbeam_Master_01","0","0","9","1","0.000000","0","0"
"/Game/PolygonCity/Materials/Mat_PolygonCity_Water.Mat_PolygonCity_Water","0","146","6","1","1150.639038","0","3355"
"/Engine/EngineSky/M_Sky_Panning_Clouds2.M_Sky_Panning_Clouds2","0","0","4","1","0.000000","0","0"
"/SpeedTreeImporter/SpeedTree9/SpeedTreeBillboardMaster.SpeedTreeBillboardMaster","0","0","62","1","0.000000","0","0"
"/SpeedTreeImporter/SpeedTree9/SpeedTreeMaster.SpeedTreeMaster","0","0","88","1","0.000000","0","0"
"/Game/_Materials/MaskedOcclusion/Test.Test","0","29","1","1","34.701660","0","241"
"/Game/_Materials/M_PolyGon_TextureOccluded.M_PolyGon_TextureOccluded","0","111","1","1","141.401642","0","1740"
"/Game/LPSDeluxe2TropicalEnvironment/LPSD2_Materials/SpecialMaterials/2SidedMaterials/M_2Side_Master.M_2Side_Master","0","48","2","1","64.643494","0","418"
"/Game/LPSDeluxe2TropicalEnvironment/LPSD2_Materials/Materials/Master_Color/M_Color_Master.M_Color_Master","0","46","2","1","57.452534","0","372"
"/Game/LevelPrototyping/Materials/M_PrototypeGrid.M_PrototypeGrid","0","23","74","4","28.513283","0","118"
"/Game/Characters/Mannequins/Materials/M_Mannequin.M_Mannequin","0","0","64","2","0.000000","0","0"
"/Engine/OpenWorldTemplate/LandscapeMaterial/M_ProcGrid.M_ProcGrid","0","0","28","2","0.000000","0","0"
"/Bridge/MSPresets/M_MS_Decal_Material/M_MS_Decal_Material.M_MS_Decal_Material","0","0","27","1","0.000000","0","27"
